loss,train_loss,iter,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
nan,nan,500,1754819457,checkpoint_000000,True,False,1,556d6_00147,2025-08-10_10-50-57,32.92593741416931,32.92593741416931,1846674,ash,134.226.40.133,32.92593741416931,1
nan,nan,1000,1754819487,checkpoint_000001,True,False,2,556d6_00147,2025-08-10_10-51-27,29.684069871902466,62.61000728607178,1846674,ash,134.226.40.133,62.61000728607178,2
nan,nan,1500,1754819519,checkpoint_000002,True,False,3,556d6_00147,2025-08-10_10-51-59,32.05536985397339,94.66537714004517,1846674,ash,134.226.40.133,94.66537714004517,3
nan,nan,2000,1754819548,checkpoint_000003,True,False,4,556d6_00147,2025-08-10_10-52-28,29.61650252342224,124.28187966346741,1846674,ash,134.226.40.133,124.28187966346741,4
nan,nan,2500,1754819577,checkpoint_000004,True,False,5,556d6_00147,2025-08-10_10-52-57,28.808924198150635,153.09080386161804,1846674,ash,134.226.40.133,153.09080386161804,5
nan,nan,3000,1754819609,checkpoint_000005,True,False,6,556d6_00147,2025-08-10_10-53-29,32.29356575012207,185.3843696117401,1846674,ash,134.226.40.133,185.3843696117401,6
nan,nan,3500,1754819640,checkpoint_000006,True,False,7,556d6_00147,2025-08-10_10-54-00,31.05550456047058,216.4398741722107,1846674,ash,134.226.40.133,216.4398741722107,7
nan,nan,4000,1754819671,checkpoint_000007,True,False,8,556d6_00147,2025-08-10_10-54-31,30.64270281791687,247.08257699012756,1846674,ash,134.226.40.133,247.08257699012756,8
nan,nan,4500,1754819701,checkpoint_000008,True,False,9,556d6_00147,2025-08-10_10-55-01,29.949279069900513,277.0318560600281,1846674,ash,134.226.40.133,277.0318560600281,9
nan,nan,5000,1754819733,checkpoint_000009,True,False,10,556d6_00147,2025-08-10_10-55-33,32.03337097167969,309.06522703170776,1846674,ash,134.226.40.133,309.06522703170776,10
nan,nan,5500,1754819763,checkpoint_000010,True,False,11,556d6_00147,2025-08-10_10-56-03,29.96779441833496,339.0330214500427,1846674,ash,134.226.40.133,339.0330214500427,11
nan,nan,6000,1754819795,checkpoint_000011,True,False,12,556d6_00147,2025-08-10_10-56-35,32.23127865791321,371.26430010795593,1846674,ash,134.226.40.133,371.26430010795593,12
nan,nan,6500,1754819827,checkpoint_000012,True,False,13,556d6_00147,2025-08-10_10-57-07,32.12258529663086,403.3868854045868,1846674,ash,134.226.40.133,403.3868854045868,13
nan,nan,7000,1754819860,checkpoint_000013,True,False,14,556d6_00147,2025-08-10_10-57-40,32.09158706665039,435.4784724712372,1846674,ash,134.226.40.133,435.4784724712372,14
nan,nan,7500,1754819889,checkpoint_000014,True,False,15,556d6_00147,2025-08-10_10-58-09,29.209929704666138,464.6884021759033,1846674,ash,134.226.40.133,464.6884021759033,15
nan,nan,8000,1754819920,checkpoint_000015,True,False,16,556d6_00147,2025-08-10_10-58-40,30.97129249572754,495.65969467163086,1846674,ash,134.226.40.133,495.65969467163086,16
nan,nan,8500,1754819952,checkpoint_000016,True,False,17,556d6_00147,2025-08-10_10-59-12,31.867536306381226,527.5272309780121,1846674,ash,134.226.40.133,527.5272309780121,17
nan,nan,9000,1754819983,checkpoint_000017,True,False,18,556d6_00147,2025-08-10_10-59-43,31.05118989944458,558.5784208774567,1846674,ash,134.226.40.133,558.5784208774567,18
nan,nan,9500,1754820013,checkpoint_000018,True,False,19,556d6_00147,2025-08-10_11-00-13,30.102649927139282,588.681070804596,1846674,ash,134.226.40.133,588.681070804596,19
nan,nan,9999,1754820042,checkpoint_000019,True,True,20,556d6_00147,2025-08-10_11-00-43,29.751965284347534,618.4330360889435,1846674,ash,134.226.40.133,618.4330360889435,20
