loss,train_loss,iter,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
2.3786876022815706,2.316907697916031,500,1754776785,checkpoint_000000,True,False,1,4cf96_00088,2025-08-09_22-59-45,31.774542331695557,31.774542331695557,1527706,ash,134.226.40.133,31.774542331695557,1
1.9015829837322236,1.7166409415006638,1000,1754776818,checkpoint_000001,True,False,2,4cf96_00088,2025-08-09_23-00-18,32.62650752067566,64.40104985237122,1527706,ash,134.226.40.133,64.40104985237122,2
1.7459258204698562,1.5299483883380889,1500,1754776849,checkpoint_000002,True,False,3,4cf96_00088,2025-08-09_23-00-49,31.26511287689209,95.6661627292633,1527706,ash,134.226.40.133,95.6661627292633,3
1.6403987926244736,1.4061954736709594,2000,1754776880,checkpoint_000003,True,False,4,4cf96_00088,2025-08-09_23-01-20,30.749989986419678,126.41615271568298,1527706,ash,134.226.40.133,126.41615271568298,4
1.603007659316063,1.352556406855583,2500,1754776912,checkpoint_000004,True,False,5,4cf96_00088,2025-08-09_23-01-52,32.52023124694824,158.93638396263123,1527706,ash,134.226.40.133,158.93638396263123,5
1.5618926686048509,1.3030110305547715,3000,1754776945,checkpoint_000005,True,False,6,4cf96_00088,2025-08-09_23-02-25,32.4683051109314,191.40468907356262,1527706,ash,134.226.40.133,191.40468907356262,6
1.5389351791143417,1.2618645966053008,3500,1754776977,checkpoint_000006,True,False,7,4cf96_00088,2025-08-09_23-02-57,32.669203758239746,224.07389283180237,1527706,ash,134.226.40.133,224.07389283180237,7
1.5273234862089158,1.2327304536104202,4000,1754777010,checkpoint_000007,True,False,8,4cf96_00088,2025-08-09_23-03-30,32.47137951850891,256.5452723503113,1527706,ash,134.226.40.133,256.5452723503113,8
1.5234267914295196,1.2132056331634522,4500,1754777042,checkpoint_000008,True,False,9,4cf96_00088,2025-08-09_23-04-02,32.54042887687683,289.0857012271881,1527706,ash,134.226.40.133,289.0857012271881,9
1.5026612758636475,1.185482201576233,5000,1754777075,checkpoint_000009,True,False,10,4cf96_00088,2025-08-09_23-04-35,32.49633479118347,321.5820360183716,1527706,ash,134.226.40.133,321.5820360183716,10
1.5106961607933045,1.1722475063800812,5500,1754777107,checkpoint_000010,True,False,11,4cf96_00088,2025-08-09_23-05-07,32.51084327697754,354.0928792953491,1527706,ash,134.226.40.133,354.0928792953491,11
1.5106472599506378,1.157459130883217,6000,1754777140,checkpoint_000011,True,False,12,4cf96_00088,2025-08-09_23-05-40,32.529274225234985,386.6221535205841,1527706,ash,134.226.40.133,386.6221535205841,12
1.5145776051282882,1.141785889863968,6500,1754777172,checkpoint_000012,True,False,13,4cf96_00088,2025-08-09_23-06-12,32.52259135246277,419.1447448730469,1527706,ash,134.226.40.133,419.1447448730469,13
1.5143267297744751,1.1348656767606735,7000,1754777205,checkpoint_000013,True,False,14,4cf96_00088,2025-08-09_23-06-45,32.62187218666077,451.76661705970764,1527706,ash,134.226.40.133,451.76661705970764,14
1.5054204869270325,1.1199990302324294,7500,1754777238,checkpoint_000014,True,False,15,4cf96_00088,2025-08-09_23-07-18,32.62461447715759,484.39123153686523,1527706,ash,134.226.40.133,484.39123153686523,15
1.4998260378837585,1.1072921627759933,8000,1754777270,checkpoint_000015,True,True,16,4cf96_00088,2025-08-09_23-07-50,32.66845917701721,517.0596907138824,1527706,ash,134.226.40.133,517.0596907138824,16
