loss,train_loss,iter,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1.9564799892902374,1.787052059173584,500,1754814504,checkpoint_000000,True,False,1,53eeb_00181,2025-08-10_09-28-24,32.20746827125549,32.20746827125549,1807254,ash,134.226.40.133,32.20746827125549,1
1.6880351191759109,1.4696181762218474,1000,1754814536,checkpoint_000001,True,False,2,53eeb_00181,2025-08-10_09-28-56,31.952168464660645,64.15963673591614,1807254,ash,134.226.40.133,64.15963673591614,2
1.5916400146484375,1.356026941537857,1500,1754814569,checkpoint_000002,True,False,3,53eeb_00181,2025-08-10_09-29-29,32.84143018722534,97.00106692314148,1807254,ash,134.226.40.133,97.00106692314148,3
1.5483345991373063,1.2866437637805939,2000,1754814600,checkpoint_000003,True,False,4,53eeb_00181,2025-08-10_09-30-00,31.050171613693237,128.05123853683472,1807254,ash,134.226.40.133,128.05123853683472,4
1.5162291520833968,1.246966757774353,2500,1754814630,checkpoint_000004,True,False,5,53eeb_00181,2025-08-10_09-30-30,30.059327602386475,158.1105661392212,1807254,ash,134.226.40.133,158.1105661392212,5
1.5038216990232467,1.2078018969297408,3000,1754814660,checkpoint_000005,True,False,6,53eeb_00181,2025-08-10_09-31-00,30.197428464889526,188.30799460411072,1807254,ash,134.226.40.133,188.30799460411072,6
1.4957660073041916,1.1799321204423905,3500,1754814692,checkpoint_000006,True,False,7,53eeb_00181,2025-08-10_09-31-32,32.42000102996826,220.72799563407898,1807254,ash,134.226.40.133,220.72799563407898,7
1.4877791595458985,1.156019112467766,4000,1754814723,checkpoint_000007,True,False,8,53eeb_00181,2025-08-10_09-32-03,30.300493955612183,251.02848958969116,1807254,ash,134.226.40.133,251.02848958969116,8
1.4962522351741792,1.134666429758072,4500,1754814755,checkpoint_000008,True,False,9,53eeb_00181,2025-08-10_09-32-35,32.41682291030884,283.4453125,1807254,ash,134.226.40.133,283.4453125,9
1.4888227438926698,1.1185599184036255,5000,1754814788,checkpoint_000009,True,False,10,53eeb_00181,2025-08-10_09-33-08,32.571205615997314,316.0165181159973,1807254,ash,134.226.40.133,316.0165181159973,10
1.4924284833669663,1.1026229548454285,5500,1754814820,checkpoint_000010,True,False,11,53eeb_00181,2025-08-10_09-33-40,32.528379917144775,348.5448980331421,1807254,ash,134.226.40.133,348.5448980331421,11
1.4826505142450332,1.0839847111701966,6000,1754814853,checkpoint_000011,True,False,12,53eeb_00181,2025-08-10_09-34-13,32.64761185646057,381.19250988960266,1807254,ash,134.226.40.133,381.19250988960266,12
1.4866192901134492,1.070742782354355,6500,1754814885,checkpoint_000012,True,False,13,53eeb_00181,2025-08-10_09-34-45,32.45246863365173,413.6449785232544,1807254,ash,134.226.40.133,413.6449785232544,13
1.4835518050193786,1.0599871891736985,7000,1754814918,checkpoint_000013,True,False,14,53eeb_00181,2025-08-10_09-35-18,32.52367687225342,446.1686553955078,1807254,ash,134.226.40.133,446.1686553955078,14
1.4859149831533431,1.0440027284622193,7500,1754814950,checkpoint_000014,True,False,15,53eeb_00181,2025-08-10_09-35-50,32.434951066970825,478.60360646247864,1807254,ash,134.226.40.133,478.60360646247864,15
1.4898119539022445,1.0322731071710587,8000,1754814983,checkpoint_000015,True,False,16,53eeb_00181,2025-08-10_09-36-23,32.626428842544556,511.2300353050232,1807254,ash,134.226.40.133,511.2300353050232,16
1.4908626317977904,1.020169670879841,8500,1754815015,checkpoint_000016,True,False,17,53eeb_00181,2025-08-10_09-36-55,32.36469483375549,543.5947301387787,1807254,ash,134.226.40.133,543.5947301387787,17
1.485343821644783,1.0119100612401963,9000,1754815048,checkpoint_000017,True,False,18,53eeb_00181,2025-08-10_09-37-28,32.448638916015625,576.0433690547943,1807254,ash,134.226.40.133,576.0433690547943,18
1.493946031332016,1.0007101342082023,9500,1754815080,checkpoint_000018,True,False,19,53eeb_00181,2025-08-10_09-38-00,32.44830870628357,608.4916777610779,1807254,ash,134.226.40.133,608.4916777610779,19
1.4988206613063813,0.9930640041828156,9999,1754815113,checkpoint_000019,True,True,20,53eeb_00181,2025-08-10_09-38-33,32.39659810066223,640.8882758617401,1807254,ash,134.226.40.133,640.8882758617401,20
