loss,train_loss,iter,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
nan,nan,500,1754770726,checkpoint_000000,True,False,1,4b902_00114,2025-08-09_21-18-46,33.540802001953125,33.540802001953125,1493969,ash,134.226.40.133,33.540802001953125,1
nan,nan,1000,1754770759,checkpoint_000001,True,False,2,4b902_00114,2025-08-09_21-19-19,32.56418514251709,66.10498714447021,1493969,ash,134.226.40.133,66.10498714447021,2
nan,nan,1500,1754770792,checkpoint_000002,True,False,3,4b902_00114,2025-08-09_21-19-52,32.799355268478394,98.90434241294861,1493969,ash,134.226.40.133,98.90434241294861,3
nan,nan,2000,1754770822,checkpoint_000003,True,False,4,4b902_00114,2025-08-09_21-20-22,30.818076610565186,129.7224190235138,1493969,ash,134.226.40.133,129.7224190235138,4
nan,nan,2500,1754770853,checkpoint_000004,True,False,5,4b902_00114,2025-08-09_21-20-53,30.134418725967407,159.8568377494812,1493969,ash,134.226.40.133,159.8568377494812,5
nan,nan,3000,1754770883,checkpoint_000005,True,False,6,4b902_00114,2025-08-09_21-21-23,30.145147800445557,190.00198554992676,1493969,ash,134.226.40.133,190.00198554992676,6
nan,nan,3500,1754770915,checkpoint_000006,True,False,7,4b902_00114,2025-08-09_21-21-55,32.29833221435547,222.30031776428223,1493969,ash,134.226.40.133,222.30031776428223,7
nan,nan,4000,1754770947,checkpoint_000007,True,False,8,4b902_00114,2025-08-09_21-22-27,32.32899451255798,254.6293122768402,1493969,ash,134.226.40.133,254.6293122768402,8
nan,nan,4500,1754770980,checkpoint_000008,True,False,9,4b902_00114,2025-08-09_21-23-00,32.49301338195801,287.1223256587982,1493969,ash,134.226.40.133,287.1223256587982,9
nan,nan,5000,1754771012,checkpoint_000009,True,False,10,4b902_00114,2025-08-09_21-23-32,32.503822565078735,319.62614822387695,1493969,ash,134.226.40.133,319.62614822387695,10
nan,nan,5500,1754771045,checkpoint_000010,True,False,11,4b902_00114,2025-08-09_21-24-05,32.410061836242676,352.03621006011963,1493969,ash,134.226.40.133,352.03621006011963,11
nan,nan,6000,1754771077,checkpoint_000011,True,False,12,4b902_00114,2025-08-09_21-24-37,32.352837800979614,384.38904786109924,1493969,ash,134.226.40.133,384.38904786109924,12
nan,nan,6500,1754771110,checkpoint_000012,True,False,13,4b902_00114,2025-08-09_21-25-10,32.3903968334198,416.77944469451904,1493969,ash,134.226.40.133,416.77944469451904,13
nan,nan,7000,1754771142,checkpoint_000013,True,False,14,4b902_00114,2025-08-09_21-25-42,32.399972438812256,449.1794171333313,1493969,ash,134.226.40.133,449.1794171333313,14
nan,nan,7500,1754771174,checkpoint_000014,True,False,15,4b902_00114,2025-08-09_21-26-14,32.34968328475952,481.5291004180908,1493969,ash,134.226.40.133,481.5291004180908,15
nan,nan,8000,1754771207,checkpoint_000015,True,False,16,4b902_00114,2025-08-09_21-26-47,32.512455463409424,514.0415558815002,1493969,ash,134.226.40.133,514.0415558815002,16
nan,nan,8500,1754771239,checkpoint_000016,True,False,17,4b902_00114,2025-08-09_21-27-19,32.33818864822388,546.3797445297241,1493969,ash,134.226.40.133,546.3797445297241,17
nan,nan,9000,1754771272,checkpoint_000017,True,False,18,4b902_00114,2025-08-09_21-27-52,32.356499433517456,578.7362439632416,1493969,ash,134.226.40.133,578.7362439632416,18
nan,nan,9500,1754771304,checkpoint_000018,True,False,19,4b902_00114,2025-08-09_21-28-24,32.364922523498535,611.1011664867401,1493969,ash,134.226.40.133,611.1011664867401,19
nan,nan,9999,1754771336,checkpoint_000019,True,True,20,4b902_00114,2025-08-09_21-28-56,32.43897819519043,643.5401446819305,1493969,ash,134.226.40.133,643.5401446819305,20
