loss,train_loss,iter,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
nan,nan,500,1754769121,checkpoint_000000,True,False,1,4b902_00061,2025-08-09_20-52-01,30.984023094177246,30.984023094177246,1484591,ash,134.226.40.133,30.984023094177246,1
nan,nan,1000,1754769153,checkpoint_000001,True,False,2,4b902_00061,2025-08-09_20-52-33,32.04828691482544,63.032310009002686,1484591,ash,134.226.40.133,63.032310009002686,2
nan,nan,1500,1754769185,checkpoint_000002,True,False,3,4b902_00061,2025-08-09_20-53-05,32.232394218444824,95.26470422744751,1484591,ash,134.226.40.133,95.26470422744751,3
nan,nan,2000,1754769217,checkpoint_000003,True,False,4,4b902_00061,2025-08-09_20-53-37,32.092682123184204,127.35738635063171,1484591,ash,134.226.40.133,127.35738635063171,4
nan,nan,2500,1754769247,checkpoint_000004,True,False,5,4b902_00061,2025-08-09_20-54-07,29.754058837890625,157.11144518852234,1484591,ash,134.226.40.133,157.11144518852234,5
nan,nan,3000,1754769276,checkpoint_000005,True,False,6,4b902_00061,2025-08-09_20-54-36,29.34488844871521,186.45633363723755,1484591,ash,134.226.40.133,186.45633363723755,6
nan,nan,3500,1754769309,checkpoint_000006,True,False,7,4b902_00061,2025-08-09_20-55-09,32.61262774467468,219.06896138191223,1484591,ash,134.226.40.133,219.06896138191223,7
nan,nan,4000,1754769341,checkpoint_000007,True,False,8,4b902_00061,2025-08-09_20-55-41,32.52102470397949,251.58998608589172,1484591,ash,134.226.40.133,251.58998608589172,8
nan,nan,4500,1754769374,checkpoint_000008,True,False,9,4b902_00061,2025-08-09_20-56-14,32.78714156150818,284.3771276473999,1484591,ash,134.226.40.133,284.3771276473999,9
nan,nan,5000,1754769407,checkpoint_000009,True,False,10,4b902_00061,2025-08-09_20-56-47,32.55791687965393,316.93504452705383,1484591,ash,134.226.40.133,316.93504452705383,10
nan,nan,5500,1754769439,checkpoint_000010,True,False,11,4b902_00061,2025-08-09_20-57-19,32.5542995929718,349.48934412002563,1484591,ash,134.226.40.133,349.48934412002563,11
nan,nan,6000,1754769472,checkpoint_000011,True,False,12,4b902_00061,2025-08-09_20-57-52,32.802316427230835,382.29166054725647,1484591,ash,134.226.40.133,382.29166054725647,12
nan,nan,6500,1754769505,checkpoint_000012,True,False,13,4b902_00061,2025-08-09_20-58-25,32.529009103775024,414.8206696510315,1484591,ash,134.226.40.133,414.8206696510315,13
nan,nan,7000,1754769537,checkpoint_000013,True,False,14,4b902_00061,2025-08-09_20-58-57,32.51109170913696,447.33176136016846,1484591,ash,134.226.40.133,447.33176136016846,14
nan,nan,7500,1754769568,checkpoint_000014,True,False,15,4b902_00061,2025-08-09_20-59-28,31.193037271499634,478.5247986316681,1484591,ash,134.226.40.133,478.5247986316681,15
nan,nan,8000,1754769599,checkpoint_000015,True,False,16,4b902_00061,2025-08-09_20-59-59,30.708653450012207,509.2334520816803,1484591,ash,134.226.40.133,509.2334520816803,16
nan,nan,8500,1754769629,checkpoint_000016,True,False,17,4b902_00061,2025-08-09_21-00-29,30.11737585067749,539.3508279323578,1484591,ash,134.226.40.133,539.3508279323578,17
nan,nan,9000,1754769661,checkpoint_000017,True,False,18,4b902_00061,2025-08-09_21-01-01,31.99473762512207,571.3455655574799,1484591,ash,134.226.40.133,571.3455655574799,18
nan,nan,9500,1754769693,checkpoint_000018,True,False,19,4b902_00061,2025-08-09_21-01-33,32.03811073303223,603.3836762905121,1484591,ash,134.226.40.133,603.3836762905121,19
nan,nan,9999,1754769725,checkpoint_000019,True,True,20,4b902_00061,2025-08-09_21-02-05,32.098872423172,635.4825487136841,1484591,ash,134.226.40.133,635.4825487136841,20
